tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-death-comments,animal-life-stage,animal-reproductive-condition,animal-sex,animal-taxon-detail,attachment-type,deploy-off-latitude,deploy-off-longitude,deploy-on-latitude,deploy-on-longitude,deploy-on-person,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,manipulation-type,study-site,tag-beacon-frequency,tag-manufacturer-name,tag-model,tag-serial-no
car013,QU_car013,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,54.99173725,-121.1354477,MW,,Lost,other,car013_car013,none,Quintette,151.3,Televilt,GPS,
car015,QU_car015,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,54.84596772,-121.6484788,MW,,Lost,other,car015_car015,none,Quintette,151.891,Televilt,GPS,
car017,HR_car017,Rangifer tarandus,00:00.0,,,,pregnant: No; with calf:,f,caribou,collar,,,54.73731502,-122.0215071,MW,General capture location.,Lost,other,car017_car017,none,Hart Ranges,151.86,Televilt,GPS,
car019,HR_car019,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.25290499,-122.622436,MW,General capture location.,,removal,car019_car019_1,none,Hart Ranges,151.95,Televilt,GPS,
car018,KE_car018,Rangifer tarandus,00:00.0,59:00.0,,,pregnant: Yes; with calf:,f,caribou,collar,,,55.25290499,-122.622436,MW,General capture location.,,removal,car018_car018,none,Kennedy,151.94,Televilt,GPS,
car016,HR_car016,Rangifer tarandus,00:00.0,59:00.0,,,pregnant: Yes; with calf:,f,caribou,collar,,,54.68444694,-122.1623857,MW,General capture location.,Recovered non-working green GPS collar. Cow very skinny.,removal,car016_car016_1,none,Hart Ranges,151.319,Televilt,GPS,
car020,MO_car020,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.62057375,-122.4283635,MW,General capture location.,,removal,car020_car020_1,none,Moberly,151.96,Televilt,GPS,
car022,BP_car022,Rangifer tarandus,00:00.0,,,,,m,caribou,collar,,,55.3291827,-122.112745,MW,,Lost,other,car022_car022,none,Burnt Pine,151.601,,VHF,
car009,MO_car009,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,55.55748673,-122.5931093,55.63302764,-122.4321849,MW,Replacement for failed GPS collar 151.970.,,dead,car009_car009_2,none,Moberly,151.97,Televilt,GPS,
car021,MO_car021,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on Telemetry. cod Accidental.  Caught in tree well,,,f,caribou,collar,55.79194945,-122.4797465,55.73641563,-122.4982588,MW,,,dead,car021_car021,none,Moberly,151.61,,VHF,
