"","X","Y","animal.id","jdate","pres_bkg","MAP_LABEL","conif","age_class","cc_class","HARVEST_YEAR","WATERBODY_TYPE","STREAM_ORDER","ROAD_SURFACE","layer","focal_sum","elevation","slope","aspect","TRI"
"982",1164805.47634513,1210986.03943854,"SC_car169",16079,1,"ESSFwcp",NA,NA,NA,NA,NA,NA,NA,2.44869469470576,NA,1731.49291992188,10.7941818237305,227.210113525391,3.5478515625
"983",1165250.50179865,1211114.38137503,"SC_car169",16080,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,2.30083806641845,NA,1807.70263671875,12.6823825836182,142.526702880859,4.72927856445312
"984",1165099.2162467,1211172.18511888,"SC_car169",16081,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,2.24986868680822,NA,1787.35852050781,7.11814546585083,225.390884399414,2.42544555664062
"985",1165161.4642283,1211164.79584132,"SC_car169",16082,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,2.24863807845553,NA,1804.68139648438,12.9654130935669,243.99006652832,4.49232482910156
"986",1165516.29918326,1211253.16388627,"SC_car169",16083,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,2.17705337736129,NA,1815.94091796875,9.60224723815918,251.51301574707,3.31425476074219
"987",1165288.17770118,1211121.00214918,"SC_car169",16084,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,2.30206657329456,NA,1801.98266601562,13.9676742553711,137.453964233398,4.55792236328125
"988",1166239.43984056,1211865.09186495,"SC_car169",16085,1,"ESSFwc3","TC",9,4,NA,NA,NA,NA,1.88222324459803,NA,1478.02307128906,19.0912094116211,85.101318359375,6.67622375488281
"989",1165532.59092874,1211081.21252115,"SC_car169",16086,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,2.35379786895141,NA,1804.46203613281,13.8778619766235,146.454208374023,6.15020751953125
"990",1164807.03636608,1211325.37207678,"SC_car169",16087,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,2.10286925601192,NA,1737.58618164062,33.313777923584,248.891479492188,12.9596862792969
"991",1165018.63063227,1211282.17937843,"SC_car169",16088,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,2.12888715245316,NA,1790.01538085938,2.61578059196472,113.191551208496,1.45735168457031
"992",1166146.78824493,1209672.98321607,"SC_car169",16089,1,"ESSFwcp",NA,8,0,NA,NA,NA,NA,3.06775485139762,NA,1639.16650390625,17.6927185058594,340.322357177734,6.29222106933594
"993",1165880.74722934,1209375.5968926,"SC_car169",16090,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,3.04917644262736,NA,1802.162109375,15.0580253601074,31.0486907958984,6.8502197265625
"994",1165626.35270613,1210520.0925997,"SC_car169",16092,1,"ESSFwc3","TC",8,3,NA,NA,NA,NA,2.93739542926727,NA,1480.66552734375,15.8017234802246,188.350433349609,5.60932922363281
"995",1164786.00575563,1211373.66038233,"SC_car169",16093,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,2.0825699286891,NA,1726.98986816406,33.2004318237305,259.653839111328,12.9156188964844
"996",1164911.15003855,1211366.93995648,"SC_car169",16094,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,2.06376379653296,NA,1779.71337890625,29.3790550231934,300.110961914062,10.63134765625
"997",1165192.01943916,1211550.5293243,"SC_car169",16095,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,1.8488151632546,NA,1718.17956542969,35.2311019897461,74.7626037597656,14.6967010498047
"998",1165639.9306191,1211540.47523783,"SC_car169",16096,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,1.93271134035701,NA,1763.86596679688,27.0977935791016,4.89535284042358,9.80352783203125
"999",1165570.90505864,1211072.80495413,"SC_car169",16097,1,"ESSFwc3",NA,8,0,NA,NA,NA,NA,2.38255661168422,NA,1790.79443359375,28.9415836334229,137.872528076172,11.6656951904297
"1000",1164947.21404592,1211364.45983306,"SC_car169",16098,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,2.06089196899792,NA,1790.65161132812,17.5985145568848,303.005859375,8.05259704589844
"1001",1164802.95882268,1211045.15414403,"SC_car169",16099,1,"ESSFwcp",NA,NA,NA,NA,NA,NA,NA,2.39921693639407,NA,1743.71032714844,24.5152854919434,245.874572753906,9.587158203125
