"location.long","location.lat","comments","tag.local.identifier","animal.id","animal.sex","animal.reproductive.condition","tag.manufacturer.name","tag.model","date_time","year","month","day","hour","minute"
-123.4207273,55.87113117,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-11-24 18:01:00,2013,11,24,18,1
-123.4207256,55.67266235,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-11-27 20:00:26,2012,11,27,20,0
-123.4206772,55.67111701,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-12-15 22:00:38,2012,12,15,22,0
-123.4204782,55.77259028,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-12-24 02:00:44,2012,12,24,2,0
-123.4204661,55.67218701,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-12-15 15:00:43,2012,12,15,15,0
-123.4204456,55.88499631,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2014-10-10 18:01:00,2014,10,10,18,1
-123.4204311,55.67337322,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-11-28 10:00:50,2012,11,28,10,0
-123.4202194,55.67290669,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-12-13 21:01:12,2012,12,13,21,1
-123.4201501,55.67237679,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-11-27 13:00:41,2012,11,27,13,0
-123.4199783,55.67266491,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-12-08 01:00:25,2012,12,8,1,0
-123.4197253,55.66982635,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-11-25 19:00:44,2012,11,25,19,0
-123.4196772,55.67127318,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-12-01 08:00:44,2012,12,1,8,0
-123.4196623,55.67136309,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-12-02 19:00:50,2012,12,2,19,0
-123.4194415,55.67153457,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-11-25 12:00:25,2012,11,25,12,0
-123.419422,55.67119319,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-11-28 17:00:26,2012,11,28,17,0
-123.4193997,55.77457973,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-12-23 12:00:26,2012,12,23,12,0
-123.4193898,55.67263997,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-12-08 15:00:44,2012,12,8,15,0
-123.4192166,55.7768267,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-12-23 05:00:25,2012,12,23,5,0
