event.id,timestamp,location.long,location.lat,DOP,FixType,comments,study.specific.measurement,sensor.type,individual.taxon.canonical.name,tag.local.identifier,individual.local.identifier,study.name,date
2269831722,00:44.0,-123.3901133,55.83341312,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:44.0
2269831723,00:25.0,-123.3920823,55.8323466,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:25.0
2269831724,00:26.0,-123.3908073,55.8325663,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:26.0
2269831725,00:43.0,-123.388098,55.83464149,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831726,00:43.0,-123.3879988,55.83430036,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831727,00:42.0,-123.388524,55.83413697,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:42.0
2269831728,00:44.0,-123.3847479,55.83492157,2.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:44.0
2269831729,00:47.0,-123.386137,55.8349262,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:47.0
2269831730,00:43.0,-123.3699084,55.83081588,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831731,00:54.0,-123.3292556,55.83181195,1.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:54.0
2269831732,01:40.0,-123.3249928,55.83178734,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,01:40.0
2269831733,00:51.0,-123.3251598,55.83266745,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:51.0
2269831734,00:48.0,-123.326384,55.83205321,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:48.0
